"FREQ","wtf?"
0,-27.4421
100,-35.628
200,-38.584
300,-38.7454
400,-34.4698
500,-1.05582
600,-34.1963
700,-39.104
800,-41.282
900,-42.6683
1000,-36.0798
1100,-43.8979
1200,-43.9253
1300,-44.7534
1400,-43.714
1500,-25.3319
1600,-44.3281
1700,-45.2626
1800,-45.1781
1900,-46.0846
2000,-40.3595
2100,-46.4427
2200,-46.6176
2300,-46.8954
2400,-47.5051
2500,-43.7308
2600,-47.7941
2700,-47.626
2800,-47.9265
2900,-48.5637
3000,-47.5594
3100,-49.6802
3200,-49.893
3300,-50.5826
3400,-51.1861
3500,-49.55
3600,-52.3102
3700,-51.6905
3800,-52.7281
3900,-53.2766
4000,-50.8409
4100,-54.4282
4200,-54.375
4300,-54.9425
4400,-54.9288
4500,-50.2406
4600,-55.4359
4700,-55.8766
4800,-56.0708
4900,-57.0297
5000,-55.0778
5100,-56.619
5200,-57.1525
5300,-57.9393
5400,-57.9119
5500,-58.1561
5600,-58.9986
5700,-59.1356
5800,-59.8955
5900,-59.7386
6000,-58.7365
6100,-60.6206
6200,-61.005
6300,-61.2651
6400,-61.0744
6500,-61.2239
6600,-61.9206
6700,-60.9943
6800,-61.5943
6900,-62.3181
7000,-62.6849
7100,-62.2168
7200,-62.2542
7300,-63.3455
7400,-63.7816
7500,-62.8
7600,-63.7208
7700,-63.9103
7800,-64.1486
7900,-64.4763
8000,-63.4809
8100,-64.0098
8200,-64.9159
8300,-64.1841
8400,-64.988
8500,-64.529
8600,-64.5027
8700,-64.4498
8800,-64.8475
8900,-64.9156
9000,-64.1593
9100,-65.2915
9200,-65.0428
9300,-65.7395
9400,-65.4048
9500,-65.3729
9600,-65.6264
9700,-66.7247
9800,-67.0336
9900,-66.7613
10000,-66.7417
10100,-66.6237
10200,-67.1591
10300,-67.5156
10400,-67.475
10500,-67.7317
10600,-67.7882
10700,-68.0909
10800,-68.1026
10900,-67.6549
11000,-67.6605
11100,-68.5223
11200,-68.6132
11300,-68.3804
11400,-68.8659
11500,-68.3795
11600,-69.1391
11700,-68.251
11800,-69.2665
11900,-68.7087
12000,-68.8658
12100,-68.9277
12200,-68.7587
12300,-69.0922
12400,-69.2222
12500,-68.9942
12600,-69.3365
12700,-69.7884
12800,-70.0033
12900,-69.8156
13000,-69.6948
13100,-70.3425
13200,-70.0679
13300,-70.2441
13400,-70.1172
13500,-70.2316
13600,-70.1334
13700,-70.8717
13800,-71.0752
13900,-70.1348
14000,-70.8196
14100,-70.4546
14200,-71.213
14300,-71.0097
14400,-71.0865
14500,-71.2896
14600,-70.9322
14700,-71.2077
14800,-72.0998
14900,-71.656
15000,-71.6673
15100,-71.9821
15200,-71.9402
15300,-71.7298
15400,-72.0572
15500,-72.1703
15600,-71.6444
15700,-72.2964
15800,-72.3777
15900,-72.7083
16000,-71.9605
16100,-71.7808
16200,-72.4744
16300,-72.6486
16400,-72.4713
16500,-72.6245
16600,-72.539
16700,-73.0153
16800,-72.8899
16900,-72.4176
17000,-73.1194
17100,-73.1958
17200,-73.4823
17300,-73.3013
17400,-73.6221
17500,-74.2017
17600,-73.4207
17700,-73.5517
17800,-73.9749
17900,-74.4633
18000,-73.9267
18100,-73.3116
18200,-74.1231
18300,-74.0193
18400,-74.0344
18500,-74.3063
18600,-73.761
18700,-73.9476
18800,-74.1667
18900,-74.1978
19000,-74.4867
19100,-73.9654
19200,-74.4134
19300,-74.3913
19400,-74.4192
19500,-75.1018
19600,-74.8244
19700,-74.9114
19800,-74.63
19900,-75.1253
20000,-74.9687
20100,-74.8729
20200,-75.0162
20300,-74.59
20400,-75.136
20500,-75.6957
20600,-75.2786
20700,-75.3687
20800,-75.206
20900,-74.963
21000,-75.2203
21100,-75.4816
21200,-75.5437
21300,-75.6741
21400,-75.5994
21500,-75.5939
21600,-75.6827
21700,-75.5451
21800,-75.789
21900,-76.2759
22000,-76.1578
22100,-76.2558
22200,-76.2241
22300,-76.2395
22400,-76.0058
22500,-76.1755
22600,-76.0534
22700,-75.9809
22800,-75.9249
22900,-76.0167
23000,-76.1839
23100,-75.9963
23200,-76.5993
23300,-76.4118
23400,-76.4681
23500,-76.4447
23600,-76.2508
23700,-76.3739
23800,-76.1943
23900,-76.4652
24000,-76.4436
24100,-76.5415
24200,-76.7426
24300,-76.9203
24400,-76.6974
24500,-77.075
24600,-76.4575
24700,-76.3766
24800,-77.0479
24900,-76.5156
25000,-76.7327
25100,-78.3725
25200,-77.1692
25300,-76.9767
25400,-77.0958
25500,-77.2054
25600,-77.3144
25700,-77.1089
25800,-77.1931
25900,-77.6266
26000,-77.4076
26100,-77.4829
26200,-77.6264
26300,-77.5635
26400,-77.5264
26500,-77.3123
26600,-77.8524
26700,-77.4454
26800,-77.6035
26900,-77.2099
27000,-77.3695
27100,-77.9426
27200,-77.8409
27300,-77.5201
27400,-77.882
27500,-77.982
27600,-77.8959
27700,-78.1655
27800,-77.8988
27900,-77.8869
28000,-77.9179
28100,-78.0329
28200,-78.0789
28300,-78.4128
28400,-78.3104
28500,-78.1693
28600,-78.4076
28700,-78.0998
28800,-78.3514
28900,-78.5134
29000,-78.3849
29100,-78.3361
29200,-78.4884
29300,-78.3168
29400,-78.2641
29500,-78.3172
29600,-78.61
29700,-78.8488
29800,-78.6884
29900,-78.6728
30000,-78.5906
30100,-78.7025
30200,-78.435
30300,-78.689
30400,-78.8139
30500,-78.686
30600,-78.8644
30700,-78.9361
30800,-78.926
30900,-78.9203
31000,-78.8897
31100,-79.1096
31200,-78.8025
31300,-79.1347
31400,-79.1548
31500,-78.9468
31600,-78.7805
31700,-79.0872
31800,-78.9207
31900,-79.0703
32000,-78.9887
32100,-79.0848
32200,-79.0645
32300,-79.1903
32400,-79.1362
32500,-79.1835
32600,-79.0976
32700,-79.1663
32800,-79.2021
32900,-79.6166
33000,-79.4214
33100,-79.3093
33200,-79.4539
33300,-79.3646
33400,-79.5236
33500,-79.6448
33600,-79.46
33700,-79.6667
33800,-79.4809
33900,-79.6001
34000,-79.5527
34100,-79.7658
34200,-79.6265
34300,-79.4286
34400,-79.4538
34500,-79.7504
34600,-79.5925
34700,-79.7532
34800,-79.4949
