"FREQ","cuadrada"
0,0.0414566
100,0.0876175
200,0.103321
300,0.142031
400,0.270181
500,13.3241
600,0.281544
700,0.145051
800,0.104766
900,0.0883664
1000,0.0831148
1100,0.0872533
1200,0.102172
1300,0.139163
1400,0.259037
1500,4.41703
1600,0.291412
1700,0.146556
1800,0.104854
1900,0.0878583
2000,0.0821149
2100,0.0856519
2200,0.0997165
2300,0.134864
2400,0.246591
2500,2.62084
2600,0.301384
2700,0.148146
2800,0.105207
2900,0.0876977
3000,0.0815287
3100,0.0844669
3200,0.0976089
3300,0.13082
3400,0.234551
3500,1.84184
3600,0.309819
3700,0.148212
3800,0.104231
3900,0.0863062
4000,0.0797818
4100,0.082144
4200,0.0943146
4300,0.125516
4400,0.221451
4500,1.40123
4600,0.318276
4700,0.14831
4800,0.103483
4900,0.0852396
5000,0.0784148
5100,0.0802336
5200,0.0913978
5300,0.120533
5400,0.208883
5500,1.11585
5600,0.325191
5700,0.146923
5800,0.101481
5900,0.083035
6000,0.0759757
6100,0.0772972
6200,0.0874433
6300,0.114467
6400,0.195476
6500,0.913164
6600,0.332003
6700,0.145482
6800,0.0996485
6900,0.0811047
7000,0.0738584
7100,0.0747235
7200,0.0838638
7300,0.108748
7400,0.182659
7500,0.761453
7600,0.33727
7700,0.142626
7800,0.0966658
7900,0.0781521
8000,0.0707931
8100,0.0712499
8200,0.079417
8300,0.102145
8400,0.169223
8500,0.641853
8600,0.342267
8700,0.139609
8800,0.0937737
8900,0.0753974
9000,0.0679761
9100,0.0680641
9200,0.0753048
9300,0.0958965
9400,0.156402
9500,0.545481
9600,0.345727
9700,0.135275
9800,0.0898672
9900,0.0717664
10000,0.0643673
10100,0.0641349
10200,0.070499
10300,0.0889928
10400,0.143202
10500,0.464956
10600,0.348744
10700,0.130672
10800,0.0859718
10900,0.0682566
11000,0.0609291
11100,0.0604169
11200,0.0659593
11300,0.0824416
11400,0.130636
11500,0.39728
11600,0.350286
11700,0.124895
11800,0.0812371
11900,0.0640506
12000,0.0568828
12100,0.0561407
12200,0.0609141
12300,0.0754781
12400,0.117953
12500,0.338785
12600,0.351238
12700,0.118757
12800,0.0764451
12900,0.0598971
13000,0.0529353
13100,0.052005
13200,0.0560655
13300,0.0688353
13400,0.105917
13500,0.2884
13600,0.350826
13700,0.111631
13800,0.0710166
13900,0.0552466
14000,0.0485767
14100,0.0475082
14200,0.0509092
14300,0.0619956
14400,0.0940408
14500,0.244026
