"FREQ","seno"
0,0.000155756
10,0.000383625
20,0.000337604
30,0.000299265
40,0.00031489
50,0.000385174
60,0.00038221
70,0.000369728
80,0.000347578
90,0.000432552
100,0.00037262
110,0.000420625
120,0.00045029
130,0.000552452
140,0.000654718
150,0.000780284
160,0.00103608
170,0.00146521
180,0.00211788
190,0.0033082
200,0.00574082
210,0.0111287
220,0.0262451
230,0.0942759
240,1.69852
250,4.48196
260,2.88763
270,0.179734
280,0.0383959
290,0.0147191
300,0.00704994
310,0.00399155
320,0.00247188
330,0.00163533
340,0.00112748
350,0.000875591
360,0.000657108
370,0.000526681
380,0.000454869
390,0.000419335
400,0.000308407
410,0.000301237
420,0.000313889
430,0.000291297
440,0.00029892
450,0.00031102
460,0.000261641
470,0.000344079
480,0.000267193
490,0.000226359
500,0.000269451
510,0.000292708
520,0.000260276
530,0.00026373
540,0.000273715
550,0.000260048
560,0.000227474
570,0.000234504
580,0.000230548
590,0.000211611
600,0.000244814
610,0.000235008
620,0.000229144
630,0.000216187
640,0.000253227
650,0.000202356
660,0.000220261
670,0.000227928
680,0.000286007
690,0.000370068
700,0.000492956
710,0.000936075
720,0.0019202
730,0.00586893
740,0.0387569
750,0.207032
760,0.214465
770,0.0456873
780,0.00616763
790,0.00207908
800,0.000932759
810,0.000520279
820,0.000399343
830,0.000281894
840,0.000260657
850,0.000231231
860,0.000212006
870,0.000186091
880,0.000201064
890,0.000229979
900,0.000205552
910,0.00020963
920,0.000202043
930,0.000215575
940,0.000203059
950,0.000211169
960,0.000233749
970,0.00026274
980,0.000273206
990,0.000249378
1000,0.00022007
1010,0.000218449
1020,0.000229807
1030,0.000244029
1040,0.000289189
1050,0.000239875
1060,0.000180659
1070,0.000185358
1080,0.000188663
1090,0.000186831
1100,0.000192609
1110,0.000159681
1120,0.000165258
1130,0.000195179
1140,0.000226809
1150,0.000211475
1160,0.000242487
1170,0.000255406
1180,0.000225601
1190,0.00023976
1200,0.000270552
1210,0.000234973
1220,0.000300447
1230,0.000514467
1240,0.00227
1250,0.0518777
1260,0.0867042
1270,0.0358211
1280,0.00144166
1290,0.000400921
1300,0.000286291
1310,0.000264046
1320,0.000272598
1330,0.000204414
1340,0.000205865
1350,0.00020062
1360,0.000210732
1370,0.000236389
1380,0.000260037
1390,0.000257819
1400,0.000279153
1410,0.00028618
1420,0.000273366
1430,0.000263623
1440,0.000294814
1450,0.000254535
1460,0.000247478
1470,0.000195729
1480,0.000229127
1490,0.00026283
1500,0.000276947
1510,0.000241544
