"FREQ","triangular"
0,-41.1914
100,-34.2992
200,-32.2668
300,-28.9503
400,-23.0664
500,10.93
600,-22.6961
700,-28.7891
800,-32.3238
900,-34.8299
1000,-36.7743
1100,-38.1177
1200,-38.4118
1300,-37.0621
1400,-32.5524
1500,-8.20118
1600,-31.7294
1700,-37.4199
1800,-40.2149
1900,-41.8774
2000,-42.9744
2100,-43.6139
2200,-43.4449
2300,-41.8904
2400,-37.4478
2500,-17.1776
2600,-35.8088
2700,-41.5357
2800,-44.1567
2900,-45.5702
3000,-46.4001
3100,-46.8166
3200,-46.5124
3300,-44.9618
3400,-40.7213
3500,-23.1583
3600,-38.5323
3700,-44.47
3800,-47.0712
3900,-48.386
4000,-49.0863
4100,-49.405
4200,-49.0636
4300,-47.5324
4400,-43.4213
4500,-27.7235
4600,-40.4556
4700,-46.5567
4800,-49.1314
4900,-50.3846
5000,-50.9921
5100,-51.2325
5200,-50.9328
5300,-49.4804
5400,-45.5865
5500,-31.4351
5600,-42.047
5700,-48.4015
5800,-51.0049
5900,-52.2033
6000,-52.761
6100,-52.9848
6200,-52.7271
6300,-51.3391
6400,-47.6061
6500,-34.6337
6600,-43.3028
6700,-49.867
6800,-52.4596
6900,-53.5945
7000,-54.102
7100,-54.3005
7200,-54.1232
7300,-52.858
7400,-49.3437
7500,-37.4438
7600,-44.4345
7700,-51.2855
7800,-53.8934
7900,-54.9782
8000,-55.4545
8100,-55.6474
8200,-55.4945
8300,-54.3753
8400,-51.05
8500,-40.0189
8600,-45.396
8700,-52.4933
8800,-55.0752
8900,-56.1015
9000,-56.543
9100,-56.7044
9200,-56.5791
9300,-55.6553
9400,-52.5875
9500,-42.3883
9600,-46.2874
9700,-53.7055
9800,-56.3063
9900,-57.2254
10000,-57.6073
10100,-57.7468
10200,-57.6553
10300,-56.9492
10400,-54.1231
10500,-44.6382
10600,-47.0941
10700,-54.8037
10800,-57.3118
10900,-58.1712
11000,-58.5423
11100,-58.6896
11200,-58.6243
11300,-58.0777
11400,-55.5693
11500,-46.784
11600,-47.853
11700,-55.9038
11800,-58.2951
11900,-59.0715
12000,-59.4085
12100,-59.564
12200,-59.5393
12300,-59.1597
12400,-57.0019
12500,-48.8662
12600,-48.5748
12700,-56.9436
12800,-59.206
12900,-59.9046
13000,-60.2173
13100,-60.3439
13200,-60.3212
13300,-60.0104
13400,-58.3404
13500,-50.9085
13600,-49.2527
13700,-57.9876
13800,-60.0511
13900,-60.6712
14000,-60.9447
14100,-61.0643
14200,-61.0653
14300,-60.8315
14400,-59.5874
14500,-52.9082
14600,-49.9264
14700,-59.0432
14800,-60.8623
14900,-61.4031
15000,-61.6386
15100,-61.752
15200,-61.7716
15300,-61.6068
15400,-60.7342
15500,-54.9234
15600,-50.5633
15700,-60.0652
15800,-61.5912
15900,-62.0524
16000,-62.26
16100,-62.3726
16200,-62.408
16300,-62.3266
16400,-61.7867
16500,-56.9435
16600,-51.2095
16700,-61.0788
16800,-62.33
16900,-62.6863
17000,-62.8605
17100,-62.9482
17200,-62.9826
17300,-62.9307
17400,-62.5407
17500,-58.8941
17600,-51.8249
17700,-61.8497
17800,-62.9129
17900,-63.2385
18000,-63.3824
18100,-63.4683
18200,-63.5094
18300,-63.4873
18400,-63.2382
18500,-60.7788
18600,-52.4619
18700,-62.7083
18800,-63.5244
18900,-63.7589
19000,-63.8889
19100,-63.9666
19200,-64.0097
19300,-64.0134
19400,-63.8795
19500,-62.4732
19600,-53.0797
19700,-63.4091
19800,-64.0497
19900,-64.254
20000,-64.339
20100,-64.3986
20200,-64.45
20300,-64.4724
20400,-64.4076
20500,-63.6386
20600,-53.7138
20700,-64.114
20800,-64.5477
20900,-64.6701
21000,-64.7615
21100,-64.8177
21200,-64.8621
21300,-64.9003
21400,-64.8847
21500,-64.5634
21600,-54.3499
21700,-64.7073
21800,-64.9873
21900,-65.0966
22000,-65.1449
22100,-65.1886
22200,-65.2347
22300,-65.2687
22400,-65.2899
22500,-65.1393
22600,-54.9884
22700,-65.2359
22800,-65.3842
22900,-65.4472
23000,-65.4979
23100,-65.5428
23200,-65.5767
23300,-65.6048
23400,-65.6416
23500,-65.6668
23600,-55.6571
23700,-65.6159
23800,-65.7405
23900,-65.7887
24000,-65.8215
24100,-65.8628
24200,-65.8897
24300,-65.9291
24400,-65.9495
24500,-65.9348
24600,-56.3722
24700,-66.0053
24800,-66.0577
24900,-66.087
25000,-66.1213
25100,-66.1364
25200,-66.18
25300,-66.2081
25400,-66.2262
25500,-66.1872
25600,-56.9766
25700,-66.2301
25800,-66.3343
25900,-66.3699
26000,-66.3924
26100,-66.4086
26200,-66.4434
26300,-66.4662
26400,-66.4685
26500,-66.4105
26600,-57.6503
26700,-66.5332
26800,-66.5955
26900,-66.6234
27000,-66.6531
27100,-66.6718
27200,-66.6961
27300,-66.7004
27400,-66.7002
27500,-66.639
27600,-58.3714
27700,-66.5665
27800,-66.8053
27900,-66.8658
28000,-66.881
