"TIME","cuadrada","triangular","RV1(3)","wtf?","wtf?"
0.1,-10.4685,3.43706,-3.32542e-008,0.37515,0.37515
0.1000121619,-10.4667,3.54311,-3.09675e-008,0.338834,0.338834
0.1000364857,-10.4608,3.75521,-2.45654e-008,0.263733,0.263733
0.1000851332,-10.4308,4.1784,-7.60148e-009,0.10173,0.10173
0.1000911307,-10.4208,4.23057,-5.20805e-009,0.0805404,0.0805404
0.1000926301,-10.4183,4.24362,-4.604e-009,0.0752275,0.0752275
0.1000956288,-10.4106,4.2697,-3.37377e-009,0.0645646,0.0645646
0.1001016262,-10.3711,4.32171,-5.86264e-010,0.0430612,0.0430612
0.1001018459,-10.3671,4.32361,-4.74397e-010,0.0422683,0.0422683
0.1001022852,-10.3555,4.32742,-2.35362e-010,0.0406827,0.0406827
0.100102395,-10.3513,4.32838,-1.70889e-010,0.0402863,0.0402863
0.1001026147,-10.339,4.33028,-3.56958e-011,0.0394935,0.0394935
0.1001026696,-10.3346,4.33076,-1.21393e-013,0.0392953,0.0392953
0.1001027794,-10.3221,4.33171,7.16407e-011,0.0388989,0.0388989
0.1001028725,-10.3033,4.33252,1.31245e-010,0.0385629,0.0385629
0.1001029614,-10.2639,4.33358,1.74224e-010,0.0382421,0.0382421
0.1001030581,-10.1624,4.33474,1.83423e-010,0.0378932,0.0378932
0.1001031658,-9.94117,4.33645,1.77762e-010,0.0375046,0.0375046
0.1001033091,-9.28257,4.33976,1.62302e-010,0.0369884,0.0369884
0.1001034403,-8.12254,4.34356,1.44782e-010,0.036516,0.036516
0.1001035249,-7.15138,4.34601,1.41722e-010,0.0362066,0.0362066
0.1001036398,-5.72561,4.34739,1.41735e-010,0.0357866,0.0357866
0.1001037729,-4.03387,4.34771,1.41751e-010,0.0353003,0.0353003
0.1001039025,-2.37668,4.34802,1.41777e-010,0.0348302,0.0348302
0.1001040767,-0.145845,4.34844,1.41772e-010,0.0341981,0.0341981
0.1001043302,3.10138,4.34827,1.41766e-010,0.0332784,0.0332784
0.1001048372,9.59712,4.34585,1.41753e-010,0.031439,0.031439
0.1001050246,10.4041,4.33801,2.90527e-009,0.0307495,0.0307495
0.1001051558,10.4219,4.33363,5.67427e-009,0.0302776,0.0302776
0.1001052261,10.4272,4.33332,7.08254e-009,0.030029,0.030029
0.1001052935,10.4322,4.33302,8.37702e-009,0.0297907,0.0297907
0.1001053443,10.4346,4.3328,9.31776e-009,0.0296061,0.0296061
0.1001054143,10.4378,4.33219,1.05626e-008,0.0293521,0.0293521
0.1001054933,10.4414,4.3315,1.19022e-008,0.0290651,0.0290651
0.1001055998,10.4446,4.33057,1.36009e-008,0.0286808,0.0286808
0.1001057227,10.4482,4.32949,1.542e-008,0.0282373,0.0282373
0.1001059469,10.4518,4.32754,1.83861e-008,0.0274284,0.0274284
0.1001063952,10.459,4.32363,2.31895e-008,0.0258106,0.0258106
0.1001069076,10.4632,4.31915,2.72238e-008,0.0239662,0.0239662
0.1001079323,10.4678,4.31021,3.22904e-008,0.0202773,0.0202773
0.1001096642,10.4708,4.29509,3.60899e-008,0.0140641,0.0140641
0.1001115731,10.4708,4.27843,3.71943e-008,0.00724257,0.00724257
0.1001143825,10.4708,4.25391,3.72556e-008,-0.00274649,-0.00274649
0.1001179361,10.4708,4.22291,3.69859e-008,-0.0152953,-0.0152953
0.1001243124,10.4708,4.16727,3.67916e-008,-0.0375707,-0.0375707
0.100137065,10.4708,4.056,3.67645e-008,-0.0811929,-0.0811929
0.1001625702,10.4708,3.83346,3.67855e-008,-0.164728,-0.164728
0.1002096452,10.4708,3.42272,3.6787e-008,-0.305965,-0.305965
0.1003037951,10.4708,2.60123,3.67898e-008,-0.53838,-0.53838
0.100492095,10.4708,0.958261,3.67898e-008,-0.805468,-0.805468
0.1008686947,10.4708,-2.32768,3.67897e-008,-0.568095,-0.568095
